rxnID_yeast_model	genes_yeast_model	final_GPR	complex portal	SGD	uniprot	argument
r_2853	YBR097W and YLR240W	(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)	https://www.ebi.ac.uk/complexportal/complex/CPX-1881; https://www.ebi.ac.uk/complexportal/complex/CPX-1677			Another two complex could also catalyze the reaction
r_2854	YBR097W and YLR240W	(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)	https://www.ebi.ac.uk/complexportal/complex/CPX-1881; https://www.ebi.ac.uk/complexportal/complex/CPX-1677			Another two complex could also catalyze the reaction
r_2855	YBR097W and YLR240W	(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)	https://www.ebi.ac.uk/complexportal/complex/CPX-1881; https://www.ebi.ac.uk/complexportal/complex/CPX-1677			Another two complex could also catalyze the reaction
r_2856	YBR097W and YLR240W	(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)	https://www.ebi.ac.uk/complexportal/complex/CPX-1881; https://www.ebi.ac.uk/complexportal/complex/CPX-1677			Another two complex could also catalyze the reaction
r_2857	YBR097W and YLR240W	(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)	https://www.ebi.ac.uk/complexportal/complex/CPX-1881; https://www.ebi.ac.uk/complexportal/complex/CPX-1677			Another two complex could also catalyze the reaction
r_2858	YBR097W and YLR240W	(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)	https://www.ebi.ac.uk/complexportal/complex/CPX-1881; https://www.ebi.ac.uk/complexportal/complex/CPX-1677			Another two complex could also catalyze the reaction
r_2859	YBR097W and YLR240W	(YBR097W and YLR240W) or (YBR097W and YLR240W and YPL120W and YLR360W) or (YBR097W and YLR240W and YBR128C and YPL120W and YLR211C)	https://www.ebi.ac.uk/complexportal/complex/CPX-1881; https://www.ebi.ac.uk/complexportal/complex/CPX-1677			Another two complex could also catalyze the reaction
r_3216	YLR386W and YNL325C	YFR019W and YNL325C and YFR021W and YNL054W and YLR386W	https://www.ebi.ac.uk/complexportal/complex/CPX-3088			"YFR019W, YFR021W and YNL054W are also necessary"
r_3217	YLR386W and YNL325C	YFR019W and YNL325C and YFR021W and YNL054W and YLR386W	https://www.ebi.ac.uk/complexportal/complex/CPX-3088			"YFR019W, YFR021W and YNL054W are also necessary"
r_3218	YLR386W and YNL325C	YFR019W and YNL325C and YFR021W and YNL054W and YLR386W	https://www.ebi.ac.uk/complexportal/complex/CPX-3088			"YFR019W, YFR021W and YNL054W are also necessary"
r_3219	YLR386W and YNL325C	YFR019W and YNL325C and YFR021W and YNL054W and YLR386W	https://www.ebi.ac.uk/complexportal/complex/CPX-3088			"YFR019W, YFR021W and YNL054W are also necessary"
r_3220	YLR386W and YNL325C	YFR019W and YNL325C and YFR021W and YNL054W and YLR386W	https://www.ebi.ac.uk/complexportal/complex/CPX-3088			"YFR019W, YFR021W and YNL054W are also necessary"
r_3221	YLR386W and YNL325C	YFR019W and YNL325C and YFR021W and YNL054W and YLR386W	https://www.ebi.ac.uk/complexportal/complex/CPX-3088			"YFR019W, YFR021W and YNL054W are also necessary"
r_3222	YLR386W and YNL325C	YFR019W and YNL325C and YFR021W and YNL054W and YLR386W	https://www.ebi.ac.uk/complexportal/complex/CPX-3088			"YFR019W, YFR021W and YNL054W are also necessary"
r_3223	YLR386W and YNL325C	YFR019W and YNL325C and YFR021W and YNL054W and YLR386W	https://www.ebi.ac.uk/complexportal/complex/CPX-3088			"YFR019W, YFR021W and YNL054W are also necessary"
r_1085	YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C-A and YKL080W and YLR447C and YMR054W and YOR332W and YPL234C and YPR036W	(YPR170W-B and YBR127C and YDL185W and YOR332W and YHR026W and YEL027W and YKL080W and YLR447C and YEL051W and YPL234C and YMR054W and YGR020C and YPR036W and YHR039C-A and YGR106C and YCL005W-A) or (YBR127C and YDL185W and YOR332W and YHR026W and YEL027W and YKL080W and YLR447C and YEL051W and YPL234C and YMR054W and YGR020C and YPR036W and YHR039C-A and YGR106C and YCL005W-A) 	https://www.ebi.ac.uk/complexportal/complex/CPX-1192			
r_1086	YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W	(YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W and YPR170W-B and YGR106C and YCL005W-A) or (YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W  and YGR106C and YCL005W-A)	https://www.ebi.ac.uk/complexportal/complex/CPX-1193			
r_0886	YMR205C or (YGR240C and YMR205C)	YGR240C and YMR205C	https://www.ebi.ac.uk/complexportal/complex/CPX-554	https://www.yeastgenome.org/locus/S000004818	https://www.uniprot.org/uniprot/P16862	YMR205C is a subunit
r_0887	YMR205C or (YGR240C and YMR205C)	YGR240C and YMR205C	https://www.ebi.ac.uk/complexportal/complex/CPX-554	https://www.yeastgenome.org/locus/S000004818	https://www.uniprot.org/uniprot/P16862	YMR205C is a subunit
r_2836	YDR373W and YNL267W	YDR373W and YNL267W				keep the original grRules
r_2837	YDR373W and YNL267W	YDR373W and YNL267W				keep the original grRules
r_2838	YDR373W and YNL267W	YDR373W and YNL267W				keep the original grRules
r_2839	YDR373W and YNL267W	YDR373W and YNL267W				keep the original grRules
r_2840	YDR373W and YNL267W	YDR373W and YNL267W				keep the original grRules
r_2841	YDR373W and YNL267W	YDR373W and YNL267W				keep the original grRules
r_2842	YDR373W and YNL267W	YDR373W and YNL267W				keep the original grRules
r_2843	YDR373W and YNL267W	YDR373W and YNL267W				keep the original grRules
