space,time,day,poi,type,root_type,rating,weather,tid,label
40.7711420000000 -73.9834640000000,703,Sunday,Rosa Mexicano,Mexican Restaurant,Food,8.7,Clear,10375,365
40.7726941900032 -73.9820645818322,787,Sunday,Bed Bath & Beyond,Furniture / Home Store,Shop & Service,7.7,Clear,10375,365
40.7729603860463 -73.9815480554801,922,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10375,365
40.7774590000000 -73.9788340000000,1169,Sunday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Clear,10375,365
40.7722274447236 -73.9830287606413,40,Monday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10376,365
40.8099115228134 -74.0678501129150,727,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10376,365
40.7765278976882 -73.9794073259115,774,Monday,Lansky's Deli,Diner,Food,-1.0,Clouds,10376,365
40.7729603860463 -73.9815480554801,922,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10376,365
40.7778375605658 -73.9818694498179,1167,Monday,Tasty Cafe,Coffee,Food,6.9,Rain,10376,365
40.7722274447236 -73.9830287606413,21,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Rain,10376,365
40.8099115228134 -74.0678501129150,551,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10376,365
40.7729603860463 -73.9815480554801,917,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Rain,10376,365
40.7722274447236 -73.9830287606413,46,Wednesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10376,365
40.8099115228134 -74.0678501129150,549,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10376,365
40.7750827819138 -73.9808019594095,1162,Wednesday,Jalapeño,Mexican Restaurant,Food,-1.0,Clear,10376,365
40.8099115228134 -74.0678501129150,637,Thursday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10376,365
40.7729603860463 -73.9815480554801,920,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10376,365
40.7774590000000 -73.9788340000000,1163,Thursday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Clear,10376,365
40.8099115228134 -74.0678501129150,628,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10376,365
40.7696189759854 -73.9847045837241,1018,Friday,St. Paul the Apostle Church,Church,Professional & Other Places,-1.0,Clear,10376,365
40.7687385749291 -73.9818522322777,1124,Friday,Landmarc,American Restaurant,Food,8.3,Clear,10376,365
40.7722819044156 -73.9831148477997,1290,Friday,L'Arte Del Gelato,Ice Cream Shop,Food,7.1,Clear,10376,365
40.8099115228134 -74.0678501129150,388,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10376,365
40.8607620001467 -73.8846118073199,528,Saturday,Fordham University - Rose Hill,University,College & University,-1.0,Clear,10376,365
40.7720625131954 -73.9815423162906,1114,Saturday,Atlantic Grill,Seafood Restaurant,Food,8.6,Clear,10376,365
40.8099115228134 -74.0678501129150,722,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Rain,10377,365
40.7729603860463 -73.9815480554801,919,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10377,365
40.7769300000000 -73.9774990000000,1172,Monday,Dallas BBQ,BBQ Joint,Food,-1.0,Clouds,10377,365
40.7725519708919 -73.9814217932717,923,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10377,365
40.7681940000000 -73.9853010000000,1157,Wednesday,Burrito Box,Burrito Place,Food,8.9,Clear,10377,365
40.7722274447236 -73.9830287606413,31,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10377,365
40.8099115228134 -74.0678501129150,690,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10377,365
40.7722274447236 -73.9830287606413,1405,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10377,365
40.7798980033668 -73.9815021419594,1253,Saturday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10377,365
40.7722819044156 -73.9831148477997,1316,Saturday,L'Arte Del Gelato,Ice Cream Shop,Food,7.1,Clear,10377,365
40.8099115228134 -74.0678501129150,711,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10377,365
40.7682811603301 -73.9853588394525,777,Sunday,Whym,New American Restaurant,Food,-1.0,Clear,10377,365
40.7725519708919 -73.9814217932717,925,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10377,365
40.7778441904277 -73.9801740646362,1201,Sunday,Rigoletto Pizza,Pizza Place,Food,-1.0,Clouds,10377,365
40.8099115228134 -74.0678501129150,688,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10378,365
40.7725519708919 -73.9814217932717,905,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10378,365
40.7744550988244 -73.9831091086570,1141,Monday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clear,10378,365
40.8099115228134 -74.0678501129150,544,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10378,365
40.7725519708919 -73.9814217932717,923,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10378,365
40.7774590000000 -73.9788340000000,1286,Tuesday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Rain,10378,365
40.7725519708919 -73.9814217932717,926,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10378,365
40.8099115228134 -74.0678501129150,548,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10378,365
40.7692250000000 -73.9861540000000,682,Friday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clear,10378,365
40.7725519708919 -73.9814217932717,833,Friday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10378,365
40.7798980033668 -73.9815021419594,1279,Saturday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10378,365
40.7722819044156 -73.9831148477997,1333,Saturday,L'Arte Del Gelato,Ice Cream Shop,Food,7.1,Clear,10378,365
40.8099115228134 -74.0678501129150,758,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10378,365
40.7774590000000 -73.9788340000000,1167,Sunday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Clouds,10378,365
40.8099115228134 -74.0678501129150,647,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10380,365
40.7704180542112 -73.9827245857061,717,Monday,New York Sports Clubs,Gym,Outdoors & Recreation,6.8,Clear,10380,365
40.7712888885700 -73.9820186684349,807,Monday,Duane Reade,Pharmacy,Shop & Service,5.3,Clear,10380,365
40.7764397333333 -73.9795420000000,835,Monday,Pomodoro Rosso,Italian Restaurant,Food,8.0,Clear,10380,365
40.7725519708919 -73.9814217932717,922,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10380,365
40.7722274447236 -73.9830287606413,63,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10380,365
40.8099115228134 -74.0678501129150,732,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10380,365
40.7725519708919 -73.9814217932717,923,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Rain,10380,365
40.7769300000000 -73.9774990000000,1179,Tuesday,Dallas BBQ,BBQ Joint,Food,-1.0,Clouds,10380,365
40.8099115228134 -74.0678501129150,695,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10380,365
40.7725519708919 -73.9814217932717,918,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Fog,10380,365
40.7780111213016 -73.9803715180513,1183,Wednesday,Fine & Shapiro,Deli / Bodega,Food,5.6,Clouds,10380,365
40.7722274447236 -73.9830287606413,19,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10380,365
40.7986738573118 -73.9731801352514,973,Saturday,Riverside Park,Park,Outdoors & Recreation,9.6,Clear,10380,365
40.7856756369627 -73.9845085144043,1071,Saturday,Boat Basin Cafe,Coffee,Food,5.3,Clear,10380,365
40.8099115228134 -74.0678501129150,761,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10380,365
40.7725519708919 -73.9814217932717,927,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10380,365
40.7778441904277 -73.9801740646362,1168,Sunday,Rigoletto Pizza,Pizza Place,Food,-1.0,Clear,10380,365
40.7653639612497 -73.9757859706879,1329,Tuesday,Mickey Mantle's,American Restaurant,Food,-1.0,Clouds,12654,448
40.7561647919909 -73.9906024932861,1413,Tuesday,Duane Reade,Pharmacy,Shop & Service,5.3,Clouds,12654,448
40.7567871688006 -73.9901451688078,1416,Tuesday,Gate 305,Bus Station,Travel & Transport,-1.0,Clouds,12654,448
40.7812919453058 -74.0212074909349,485,Wednesday,CVS/Pharmacy,Pharmacy,Shop & Service,6.5,Clouds,12654,448
40.7773276200000 -74.0233313700000,485,Wednesday,Union City Public Library,Library,Professional & Other Places,-1.0,Clouds,12654,448
40.7446739718766 -73.9341480016831,545,Wednesday,"LaGuardia Community College, E Building",College & University,College & University,-1.0,Clear,12654,448
40.7653700556837 -73.9760568737984,864,Wednesday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clear,12654,448
40.7813949731245 -74.0204289993657,627,Friday,Village Fried Chicken,Fried Chicken Joint,Food,-1.0,Clear,12654,448
40.7813562000000 -74.0203160047531,658,Friday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,12654,448
40.7812919453058 -74.0212074909349,623,Saturday,CVS/Pharmacy,Pharmacy,Shop & Service,6.5,Clear,12654,448
40.7813949731245 -74.0204289993657,1293,Saturday,Village Fried Chicken,Fried Chicken Joint,Food,-1.0,Clouds,12654,448
40.7812919453058 -74.0212074909349,394,Sunday,CVS/Pharmacy,Pharmacy,Shop & Service,6.5,Clear,12654,448
40.7653700556837 -73.9760568737984,427,Sunday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clear,12654,448
40.7813562000000 -74.0203160047531,450,Monday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,12655,448
40.7812919453058 -74.0208861626204,822,Monday,CVS/Pharmacy,Pharmacy,Shop & Service,6.5,Clear,12655,448
40.7813949731245 -74.0204289993657,825,Monday,Village Fried Chicken,Fried Chicken Joint,Food,-1.0,Clear,12655,448
40.7856244238207 -74.0241367178423,829,Monday,48th Street,Home (private),Residence,-1.0,Clear,12655,448
40.7653700556837 -73.9760568737984,864,Monday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clouds,12655,448
40.7655028717874 -73.9780126822968,865,Monday,Subway,Sandwich Place,Food,5.8,Clouds,12655,448
40.7653700556837 -73.9760568737984,43,Tuesday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clear,12655,448
40.7658870000000 -73.9765150000000,58,Tuesday,110 Central Park South,Residential Building (Apartment / Condo),Residence,-1.0,Clear,12655,448
40.7653700556837 -73.9760568737984,312,Tuesday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clear,12655,448
40.7639300219095 -73.9774617091927,314,Tuesday,Duane Reade,Pharmacy,Shop & Service,8.0,Clear,12655,448
40.7573774419253 -73.9933532052319,461,Tuesday,NJT Bus 156,Bus Line,Travel & Transport,-1.0,Clouds,12655,448
40.7812919453058 -74.0208861626204,827,Tuesday,CVS/Pharmacy,Pharmacy,Shop & Service,6.5,Clouds,12655,448
40.7856244238207 -74.0241367178423,827,Tuesday,48th Street,Home (private),Residence,-1.0,Clouds,12655,448
40.7799247312913 -74.0174777539740,830,Tuesday,Kikos Supermarket,Grocery Store,Shop & Service,-1.0,Clouds,12655,448
40.7653700556837 -73.9760568737984,855,Tuesday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clouds,12655,448
40.7646669129431 -73.9760383547017,1288,Tuesday,FIKA Espresso Bar,Coffee Shop,Food,8.1,Clear,12655,448
40.7641777193780 -73.9737999936769,1289,Tuesday,The Palm Court at The Plaza,Tea Room,Food,-1.0,Clear,12655,448
40.7567871688006 -73.9901451688078,1419,Tuesday,Gate 305,Bus Station,Travel & Transport,-1.0,Clear,12655,448
40.7573774419253 -73.9933532052319,1420,Tuesday,NJT Bus 156,Bus Line,Travel & Transport,-1.0,Clear,12655,448
40.7856244238207 -74.0241367178423,1434,Tuesday,48th Street,Home (private),Residence,-1.0,Clear,12655,448
40.7813949731245 -74.0204289993657,23,Wednesday,Village Fried Chicken,Fried Chicken Joint,Food,-1.0,Clear,12655,448
40.7812919453058 -74.0208861626204,24,Wednesday,CVS/Pharmacy,Pharmacy,Shop & Service,6.5,Clear,12655,448
40.7825229194457 -74.0210468268453,826,Wednesday,Chase Bank,Bank,Shop & Service,6.3,Clouds,12655,448
40.7773276200000 -74.0233313700000,833,Wednesday,Union City Public Library,Library,Professional & Other Places,-1.0,Clouds,12655,448
40.7657964899803 -73.9798320301881,861,Wednesday,Petrossian Boutique & Cafe,French Restaurant,Food,8.4,Clouds,12655,448
40.7655028717874 -73.9780126822968,863,Wednesday,Subway,Sandwich Place,Food,5.8,Clouds,12655,448
40.7653700556837 -73.9760568737984,977,Wednesday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clouds,12655,448
40.7567871688006 -73.9901451688078,1426,Wednesday,Gate 305,Bus Station,Travel & Transport,-1.0,Clouds,12655,448
40.7561647919909 -73.9906024932861,1427,Wednesday,Duane Reade,Pharmacy,Shop & Service,5.3,Clouds,12655,448
40.7663462854882 -73.9793327156039,860,Thursday,New York Athletic Club,Gym,Outdoors & Recreation,8.4,Clouds,12655,448
40.7653700556837 -73.9760568737984,923,Thursday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clouds,12655,448
40.7557664616298 -73.9912355628776,142,Friday,Escuelita,Gay Bar,Nightlife Spot,5.9,Clouds,12655,448
40.7594122094148 -73.9917807575885,205,Friday,Westway Diner,Diner,Food,8.0,Clouds,12655,448
40.7825229194457 -74.0210468268453,614,Friday,Chase Bank,Bank,Shop & Service,6.3,Clear,12655,448
40.7812919453058 -74.0208861626204,1142,Friday,CVS/Pharmacy,Pharmacy,Shop & Service,6.5,Clear,12655,448
40.7825229194457 -74.0210468268453,1146,Friday,Chase Bank,Bank,Shop & Service,6.3,Clear,12655,448
40.7812919453058 -74.0208861626204,382,Sunday,CVS/Pharmacy,Pharmacy,Shop & Service,6.5,Clouds,12655,448
40.7781252300202 -74.0243576273515,396,Sunday,43rd Bergenline Ave.,Professional & Other Places,Professional & Other Places,-1.0,Clouds,12655,448
40.7657964899803 -73.9798320301881,435,Sunday,Petrossian Boutique & Cafe,French Restaurant,Food,8.4,Clouds,12655,448
40.7653700556837 -73.9760568737984,436,Sunday,"The Ritz-Carlton New York, Central Park",Resort,Travel & Transport,9.0,Clouds,12655,448
40.7582533923748 -73.9924809001022,1024,Sunday,NJT Bus 156,Bus Line,Travel & Transport,-1.0,Clouds,12655,448
40.7674751574920 -74.0223550876397,1033,Sunday,Manhatten View,Residential Building (Apartment / Condo),Residence,-1.0,Clouds,12655,448
40.7839597743717 -74.0123851108437,1040,Sunday,48th Street,Home (private),Residence,-1.0,Clouds,12655,448
