rxnNames	metNames	comps	coefficient
polyphosphate phosphohydrolase, m	H+	m	1
polyphosphate phosphohydrolase, m	phosphate	m	2
polyphosphate phosphohydrolase, n	H2O	n	-1
polyphosphate phosphohydrolase, n	polyphosphate	n	-1
polyphosphate phosphohydrolase, n	H+	n	1
polyphosphate phosphohydrolase, n	phosphate	n	2
ethyl-(2S)-lactate transport	ethyl (2S)-lactate	c	-1
ethyl-(2S)-lactate transport	ethyl (2S)-lactate	e	1
ethyl-(2S)-lactate exchange	ethyl (2S)-lactate	e	-1
ethyl-(2R)-lactate transport	ethyl (2R)-lactate	c	-1
ethyl-(2R)-lactate transport	ethyl (2R)-lactate	e	1
ethyl-(2R)-lactate exchange	ethyl (2R)-lactate	e	-1
diethyl-succinate transport	diethyl succinate	c	-1
diethyl-succinate transport	diethyl succinate	e	1
diethyl-succinate exchange	diethyl succinate	e	-1
monoethyl-succinate transport	monoethyl succinate	c	-1
monoethyl-succinate transport	monoethyl succinate	e	1
monoethyl-succinate exchange	monoethyl succinate	e	-1
ethyl-benzoate transport	ethyl benzoate	c	-1
ethyl-benzoate transport	ethyl benzoate	e	1
ethyl-benzoate exchange	ethyl benzoate	e	-1
ethyl-pyruvate transport	ethyl pyruvate	c	-1
ethyl-pyruvate transport	ethyl pyruvate	e	1
ethyl-pyruvate exchange	ethyl pyruvate	e	-1
benzyl-acetate transport	benzyl acetate	c	-1
benzyl-acetate transport	benzyl acetate	e	1
benzyl-acetate exchange	benzyl acetate	e	-1
ethyl-isobutyrate transport	ethyl isobutyrate	c	-1
ethyl-isobutyrate transport	ethyl isobutyrate	e	1
ethyl-isobutyrate exchange	ethyl isobutyrate	e	-1
ethyl-2-methylbutyrate transport	ethyl 2-methylbutyrate	c	-1
ethyl-2-methylbutyrate transport	ethyl 2-methylbutyrate	e	1
ethyl-2-methylbutyrate exchange	ethyl 2-methylbutyrate	e	-1
polyphosphate transport, v-c	polyphosphate	v	-1
polyphosphate transport, v-c	H+	v	-1
polyphosphate transport, v-c	polyphosphate	c	1
polyphosphate transport, v-c	H+	c	1
polyphosphate transport, c-m	polyphosphate	c	-1
polyphosphate transport, c-m	H+	c	-1
polyphosphate transport, c-m	polyphosphate	m	1
polyphosphate transport, c-m	H+	m	1
polyphosphate transport, c-n	polyphosphate	c	-1
polyphosphate transport, c-n	H+	c	-1
polyphosphate transport, c-n	polyphosphate	n	1
polyphosphate transport, c-n	H+	n	1
