space,time,day,poi,type,root_type,rating,weather,tid,label
40.7722819044156 -73.9831148477997,1290,Friday,L'Arte Del Gelato,Ice Cream Shop,Food,7.1,Clear,10376,365
40.8099115228134 -74.0678501129150,388,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10376,365
40.8607620001467 -73.8846118073199,528,Saturday,Fordham University - Rose Hill,University,College & University,-1.0,Clear,10376,365
40.7720625131954 -73.9815423162906,1114,Saturday,Atlantic Grill,Seafood Restaurant,Food,8.6,Clear,10376,365
40.8099115228134 -74.0678501129150,688,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10378,365
40.7725519708919 -73.9814217932717,905,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10378,365
40.7744550988244 -73.9831091086570,1141,Monday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clear,10378,365
40.8099115228134 -74.0678501129150,544,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10378,365
40.7725519708919 -73.9814217932717,923,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10378,365
40.7774590000000 -73.9788340000000,1286,Tuesday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Rain,10378,365
40.7725519708919 -73.9814217932717,926,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10378,365
40.8099115228134 -74.0678501129150,548,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10378,365
40.7692250000000 -73.9861540000000,682,Friday,Bijou Nails,Nail Salon,Shop & Service,6.4,Clear,10378,365
40.7725519708919 -73.9814217932717,833,Friday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10378,365
40.7798980033668 -73.9815021419594,1279,Saturday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10378,365
40.7722819044156 -73.9831148477997,1333,Saturday,L'Arte Del Gelato,Ice Cream Shop,Food,7.1,Clear,10378,365
40.8099115228134 -74.0678501129150,758,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10378,365
40.7774590000000 -73.9788340000000,1167,Sunday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Clouds,10378,365
40.7744550988244 -73.9831091086570,1146,Monday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clouds,10379,365
40.7750827819138 -73.9808019594095,1155,Monday,Jalapeño,Mexican Restaurant,Food,-1.0,Clouds,10379,365
40.7722274447236 -73.9830287606413,27,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10379,365
40.8099115228134 -74.0678501129150,718,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10379,365
40.7725519708919 -73.9814217932717,923,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10379,365
40.7774590000000 -73.9788340000000,1172,Wednesday,Columbus Gourmet Food,Deli / Bodega,Food,5.6,Rain,10379,365
40.7722274447236 -73.9830287606413,20,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10379,365
40.7725519708919 -73.9814217932717,926,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10379,365
40.7778441904277 -73.9801740646362,1160,Thursday,Rigoletto Pizza,Pizza Place,Food,-1.0,Clouds,10379,365
40.7725519708919 -73.9814217932717,927,Friday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10379,365
40.7744550988244 -73.9831091086570,1169,Friday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clouds,10379,365
40.7722274447236 -73.9830287606413,35,Saturday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10379,365
40.8099115228134 -74.0678501129150,699,Saturday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10379,365
40.7685400154365 -73.9818809281772,769,Saturday,Landmarc,American Restaurant,Food,8.3,Clouds,10379,365
40.7818750000000 -73.9808940000000,1052,Saturday,SEPHORA,Cosmetics Shop,Shop & Service,8.1,Rain,10379,365
40.7652638487491 -73.9875454147917,787,Sunday,Eatery,New American Restaurant,Food,-1.0,Clear,10379,365
40.7764397333333 -73.9795420000000,1152,Sunday,Pomodoro Rosso,Italian Restaurant,Food,8.0,Clouds,10379,365
40.8099115228134 -74.0678501129150,647,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10380,365
40.7704180542112 -73.9827245857061,717,Monday,New York Sports Clubs,Gym,Outdoors & Recreation,6.8,Clear,10380,365
40.7712888885700 -73.9820186684349,807,Monday,Duane Reade,Pharmacy,Shop & Service,5.3,Clear,10380,365
40.7764397333333 -73.9795420000000,835,Monday,Pomodoro Rosso,Italian Restaurant,Food,8.0,Clear,10380,365
40.7725519708919 -73.9814217932717,922,Monday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10380,365
40.7722274447236 -73.9830287606413,63,Tuesday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10380,365
40.8099115228134 -74.0678501129150,732,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10380,365
40.7725519708919 -73.9814217932717,923,Tuesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Rain,10380,365
40.7769300000000 -73.9774990000000,1179,Tuesday,Dallas BBQ,BBQ Joint,Food,-1.0,Clouds,10380,365
40.8099115228134 -74.0678501129150,695,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10380,365
40.7725519708919 -73.9814217932717,918,Wednesday,WABC-TV,TV Station,Professional & Other Places,-1.0,Fog,10380,365
40.7780111213016 -73.9803715180513,1183,Wednesday,Fine & Shapiro,Deli / Bodega,Food,5.6,Clouds,10380,365
40.7722274447236 -73.9830287606413,19,Thursday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clouds,10380,365
40.7986738573118 -73.9731801352514,973,Saturday,Riverside Park,Park,Outdoors & Recreation,9.6,Clear,10380,365
40.7856756369627 -73.9845085144043,1071,Saturday,Boat Basin Cafe,Coffee,Food,5.3,Clear,10380,365
40.8099115228134 -74.0678501129150,761,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10380,365
40.7725519708919 -73.9814217932717,927,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10380,365
40.7778441904277 -73.9801740646362,1168,Sunday,Rigoletto Pizza,Pizza Place,Food,-1.0,Clear,10380,365
40.8099115228134 -74.0678501129150,651,Monday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10383,365
40.7704180542112 -73.9827245857061,727,Monday,New York Sports Clubs,Gym,Outdoors & Recreation,6.8,Clouds,10383,365
40.7742150000000 -73.9811760000000,815,Monday,Starbucks,Coffee Shop,Food,-1.0,Clouds,10383,365
40.7692250000000 -73.9861540000000,912,Monday,Bijou Nails,Nail Salon,Shop & Service,6.4,Unknown,10383,365
40.7798980033668 -73.9815021419594,1234,Monday,Loehmann's,Department Store,Shop & Service,-1.0,Clear,10383,365
40.8099115228134 -74.0678501129150,547,Tuesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10383,365
40.8099115228134 -74.0678501129150,556,Wednesday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clouds,10383,365
40.8099115228134 -74.0678501129150,728,Thursday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10383,365
40.7725519708919 -73.9814217932717,919,Thursday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10383,365
40.7744550988244 -73.9831091086570,1182,Thursday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clear,10383,365
40.7722274447236 -73.9830287606413,25,Friday,Josie Robertson Plaza (Lincoln Center Plaza),Plaza,Outdoors & Recreation,9.3,Clear,10383,365
40.8099115228134 -74.0678501129150,549,Friday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10383,365
40.7725519708919 -73.9814217932717,926,Friday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clear,10383,365
40.7778441904277 -73.9801740646362,1178,Friday,Rigoletto Pizza,Pizza Place,Food,-1.0,Clear,10383,365
40.7764397333333 -73.9795420000000,805,Saturday,Pomodoro Rosso,Italian Restaurant,Food,8.0,Clouds,10383,365
40.7818560000000 -73.9792270000000,1150,Saturday,Chirping Chicken,Comfort Food Restaurant,Food,7.8,Clear,10383,365
40.8099115228134 -74.0678501129150,745,Sunday,American Dream | Meadowlands,Shopping Mall,Shop & Service,5.3,Clear,10383,365
40.7682811603301 -73.9853588394525,789,Sunday,Whym,New American Restaurant,Food,-1.0,Clear,10383,365
40.7725519708919 -73.9814217932717,925,Sunday,WABC-TV,TV Station,Professional & Other Places,-1.0,Clouds,10383,365
40.7744550988244 -73.9831091086570,1167,Sunday,Gourmet Garage,Gourmet Shop,Shop & Service,7.4,Clouds,10383,365
40.7437776500000 -73.8815047400000,1216,Tuesday,home :),Residential Building (Apartment / Condo),Residence,-1.0,Clouds,22813,820
40.7437935375000 -73.8815594600000,1216,Tuesday,New Broadway Laundromat,Laundry Service,Shop & Service,-1.0,Clouds,22813,820
40.7475941405707 -74.0278806690830,1097,Wednesday,Amanda's Restaurant,American Restaurant,Food,8.7,Clouds,22813,820
40.7405355885584 -74.0299118394365,1098,Wednesday,Five Guys,Burger Joint,Food,-1.0,Clouds,22813,820
40.7407110000000 -74.0297966833333,1098,Wednesday,Aroma,Chinese Restaurant,Food,-1.0,Clouds,22813,820
40.7415790000000 -74.0296350000000,1098,Wednesday,Crumbs Bake Shop,Cupcake Shop,Food,-1.0,Clouds,22813,820
40.7392091196174 -74.0305143010544,1099,Wednesday,Dunkin Donuts,Donut Shop,Food,5.1,Clouds,22813,820
40.7413195799604 -73.8808966600221,1196,Wednesday,Phở Bằng,Vietnamese Restaurant,Food,-1.0,Clouds,22813,820
40.7410793002898 -73.8799989223480,1197,Wednesday,Lao Bei Fang,Chinese Restaurant,Food,8.6,Clouds,22813,820
40.7408628684860 -73.8799734413624,1197,Wednesday,Quickly 快可立,Coffee,Food,6.8,Clouds,22813,820
40.7429692382286 -73.8827669620514,445,Thursday,Top Line Supermarket,Supermarket,Shop & Service,6.1,Clear,22813,820
40.7430598252401 -73.8823494230775,446,Thursday,Dunkin' Donuts,Donut Shop,Food,5.9,Clear,22813,820
40.7561269575872 -73.9908740118465,468,Thursday,Chase Bank,Bank,Shop & Service,6.2,Clear,22813,820
40.7568962212921 -73.9918899536133,469,Thursday,Au Bon Pain,Bakery,Food,6.4,Clear,22813,820
40.7561647919909 -73.9906024932861,469,Thursday,Duane Reade,Pharmacy,Shop & Service,5.3,Clear,22813,820
40.7562149459303 -73.9905239379766,469,Thursday,Heartland Brewery,Brewery,Nightlife Spot,7.0,Clear,22813,820
40.7562630647805 -73.9912470406770,470,Thursday,Transbridge Bus Line,Bus Line,Travel & Transport,-1.0,Clear,22813,820
40.7569233786569 -73.9915167687641,470,Thursday,Casa Java,Coffee Shop,Food,5.5,Clear,22813,820
40.7512134236282 -74.0253388067539,888,Thursday,Kidville,School,Professional & Other Places,-1.0,Clouds,22813,820
40.7515809851416 -74.0266513824463,888,Thursday,Kings Food Markets,Supermarket,Shop & Service,5.9,Clouds,22813,820
40.7515875773162 -74.0252871658586,888,Thursday,Hoboken Historical Museum,History Museum,Arts & Entertainment,8.2,Clouds,22813,820
40.7511380000000 -74.0253780305149,888,Thursday,Heaven,Resort,Travel & Transport,-1.0,Clouds,22813,820
40.7509988731958 -74.0254765157396,888,Thursday,Starbucks,Coffee Shop,Food,7.4,Clouds,22813,820
40.7418465138618 -73.8835035868336,1172,Thursday,Esparks Coffee,Coffee Shop,Food,-1.0,Clouds,22813,820
40.7437935375000 -73.8815594600000,1172,Thursday,New Broadway Laundromat,Laundry Service,Shop & Service,-1.0,Clouds,22813,820
40.7413195799604 -73.8808966600221,1408,Thursday,Phở Bằng,Vietnamese Restaurant,Food,-1.0,Clouds,22813,820
40.7413195799604 -73.8808966600221,445,Friday,Phở Bằng,Vietnamese Restaurant,Food,-1.0,Clear,22813,820
40.7561269575872 -73.9908740118465,475,Friday,Chase Bank,Bank,Shop & Service,6.2,Clear,22813,820
40.7561647919909 -73.9906024932861,475,Friday,Duane Reade,Pharmacy,Shop & Service,5.3,Clear,22813,820
40.7562630647805 -73.9912470406770,475,Friday,Transbridge Bus Line,Bus Line,Travel & Transport,-1.0,Clear,22813,820
40.7569233786569 -73.9915167687641,475,Friday,Casa Java,Coffee Shop,Food,5.5,Clear,22813,820
40.7568962212921 -73.9918899536133,476,Friday,Au Bon Pain,Bakery,Food,6.4,Clear,22813,820
40.7509930000000 -74.0255670000000,507,Friday,Hoboken Children's Academy II,School,Professional & Other Places,-1.0,Clear,22813,820
40.7511380000000 -74.0253780305149,507,Friday,Heaven,Resort,Travel & Transport,-1.0,Clear,22813,820
40.7512134236282 -74.0253388067539,507,Friday,Kidville,School,Professional & Other Places,-1.0,Clear,22813,820
40.7515875773162 -74.0252871658586,507,Friday,Hoboken Historical Museum,History Museum,Arts & Entertainment,8.2,Clear,22813,820
40.7509988731958 -74.0254765157396,507,Friday,Starbucks,Coffee Shop,Food,7.4,Clear,22813,820
40.7511101050750 -74.0267904839743,1058,Friday,Shark Week,Zoo,Arts & Entertainment,-1.0,Clear,22813,820
40.7512134236282 -74.0253388067539,1058,Friday,Kidville,School,Professional & Other Places,-1.0,Clear,22813,820
40.7509988731958 -74.0254765157396,1058,Friday,Starbucks,Coffee Shop,Food,7.4,Clear,22813,820
40.7505842054458 -74.0254191370077,1058,Friday,The Hoboken Man,Salon / Barbershop,Shop & Service,7.4,Clear,22813,820
40.7437935375000 -73.8815594600000,859,Saturday,New Broadway Laundromat,Laundry Service,Shop & Service,-1.0,Clear,22813,820
40.7431954565653 -73.8823149703235,859,Saturday,Yi Mei Fung Bakery Corp,Bakery,Food,5.9,Clear,22813,820
40.7430598252401 -73.8823494230775,859,Saturday,Dunkin' Donuts,Donut Shop,Food,5.9,Clear,22813,820
40.7428281910853 -73.8821829013770,859,Saturday,Moore Homestead Playground,Playground,Outdoors & Recreation,-1.0,Clear,22813,820
40.7484925493377 -74.0270945888687,969,Sunday,Yash Liquor,Convenience Store,Shop & Service,-1.0,Clouds,22813,820
40.7433183101785 -73.8819302474919,970,Sunday,Broadway Park (Elmhurst),Park,Outdoors & Recreation,6.6,Clouds,22813,820
40.7429692382286 -73.8827669620514,970,Sunday,Top Line Supermarket,Supermarket,Shop & Service,6.1,Clouds,22813,820
40.7431397098343 -73.8824011021972,466,Wednesday,T-Mobile,Electronics Store,Shop & Service,6.7,Clouds,22816,820
40.7432216124197 -73.8830384768847,467,Wednesday,Yi Mei Fung Bakery Corp,Bakery,Food,5.9,Clouds,22816,820
40.7434308397878 -73.8833657765936,467,Wednesday,Dunkin' Donuts,Donut Shop,Food,5.9,Clouds,22816,820
40.7427576226745 -73.8823149703235,467,Wednesday,Broadway Park (Elmhurst),Park,Outdoors & Recreation,6.6,Clouds,22816,820
40.7429501250559 -73.8822862596905,467,Wednesday,Dr. Chhabra Dental Office,Dentist's Office,Professional & Other Places,-1.0,Clouds,22816,820
40.7562208921636 -73.9908338394677,503,Thursday,Transbridge Bus Line,Bus Line,Travel & Transport,-1.0,Clouds,22816,820
40.7561647919909 -73.9906024932861,503,Thursday,Duane Reade,Pharmacy,Shop & Service,5.3,Clouds,22816,820
40.7563305728609 -73.9910117456530,503,Thursday,Casa Java,Coffee Shop,Food,5.5,Clouds,22816,820
